brand,product,url,imgSrc,name,categories,specific,hex,lightness,namingScheme
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,https://www.sephora.com/product/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-P421001?icid2=products%20grid:p421001,/productimages/sku/s1967926+sw.jpg,golden nude,"descriptor, skin",13,#E3C69B,0.7490196078,nude
bareMinerals,Blemish Rescue™ Salicylic Acid Loose Powder Foundation ,https://www.sephora.com/product/blemish-rescue-skin-clearing-loose-powder-foundation-P432867?icid2=products%20grid:p432867,/productimages/sku/s2107704+sw.jpg,golden nude,"descriptor, skin",3.5NW,#D19369,0.6156862745,nude
bareMinerals,Blemish Rescue™ Salicylic Acid Loose Powder Foundation ,https://www.sephora.com/product/blemish-rescue-skin-clearing-loose-powder-foundation-P432867?icid2=products%20grid:p432867,/productimages/sku/s2107712+sw.jpg,tan nude,"skin, color, skin",3.5W,#D09670,0.6274509804,nude
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,https://www.sephora.com/product/bareminerals-i-am-an-original-get-started-reg-kit-original-loose-mineral-foundation-customizable-set-P467936?icid2=products%20grid:p467936,/productimages/sku/s1922616+sw.jpg,golden nude,"descriptor, skin",16,#A66D4D,0.4764705882,nude
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,https://www.sephora.com/product/bareminerals-i-am-an-original-get-started-reg-kit-original-loose-mineral-foundation-customizable-set-P467936?icid2=products%20grid:p467936,/productimages/sku/s1922509+sw.jpg,tan nude,"skin, color, skin",17,#9F794F,0.4666666667,nude
bareMinerals,Matte Foundation Broad Spectrum SPF 15,https://www.ulta.com/matte-foundation-broad-spectrum-spf-15?productId=xlsImpprod1480002,https://images.ulta.com/is/image/Ulta/2505435sw?$50px$,golden nude,"descriptor, skin",16,#ECAD7C,0.7058823529,nude
bareMinerals,Matte Foundation Broad Spectrum SPF 15,https://www.ulta.com/matte-foundation-broad-spectrum-spf-15?productId=xlsImpprod1480002,https://images.ulta.com/is/image/Ulta/2505446sw?$50px$,tan nude,"skin, color, skin",17,#C98F70,0.6137254902,nude
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,https://www.sephora.com/product/bareminerals-matte-foundation-broad-spectrum-spf-15-P240604?icid2=products%20grid:p240604,/productimages/sku/s1922681+sw.jpg,golden nude,"descriptor, skin",16,#A66D4D,0.4764705882,nude
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,https://www.sephora.com/product/bareminerals-matte-foundation-broad-spectrum-spf-15-P240604?icid2=products%20grid:p240604,/productimages/sku/s1922699+sw.jpg,tan nude,"skin, color, skin",17,#A46E51,0.4803921569,nude
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,https://www.ulta.com/original-foundation-broad-spectrum-spf-15?productId=VP11362,https://images.ulta.com/is/image/Ulta/2505429sw?$50px$,golden nude,"descriptor, skin",16,#ECAD7C,0.7058823529,nude
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,https://www.ulta.com/original-foundation-broad-spectrum-spf-15?productId=VP11362,https://images.ulta.com/is/image/Ulta/2505431sw?$50px$,tan nude,"skin, color, skin",17,#C98F70,0.6137254902,nude
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,https://www.ulta.com/original-liquid-mineral-foundation-broad-spectrum-spf-20?productId=pimprod2018342,https://images.ulta.com/is/image/Ulta/2573925sw?$50px$,golden nude,"descriptor, skin",16,#DBA678,0.6647058824,nude
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,https://www.ulta.com/original-liquid-mineral-foundation-broad-spectrum-spf-20?productId=pimprod2018342,https://images.ulta.com/is/image/Ulta/2557724sw?$50px$,tan nude,"skin, color, skin",17,#E9B179,0.6941176471,nude
Catrice,HD Liquid Coverage Foundation,https://www.ulta.com/hd-liquid-coverage-foundation?productId=xlsImpprod16021093,https://images.ulta.com/is/image/Ulta/2545695sw?$50px$,nude beige,"skin, color",32,#C19E77,0.6117647059,nude
Clinique,Superbalanced Makeup,https://www.ulta.com/superbalanced-makeup?productId=xlsImpprod10791911,https://images.ulta.com/is/image/Ulta/2153602?$sm$,nude beige,"skin, color",43,#F9F9F9,0.9764705882,nude
CoverGirl,Simply Ageless 3-In-1 Liquid Foundation,https://www.ulta.com/simply-ageless-3-in-1-liquid-foundation?productId=xlsImpprod13501013,https://images.ulta.com/is/image/Ulta/2296382sw?$50px$,nude beige,"skin, color",NA,#DAB087,0.6921568627,nude
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,https://images.ulta.com/is/image/Ulta/2533525sw?$50px$,light nude,"descriptor, skin",L60,#D7A98F,0.7019607843,nude
Dermablend,Leg and Body Makeup,https://www.ulta.com/leg-body-makeup?productId=xlsImpprod16041799,https://images.ulta.com/is/image/Ulta/2509357sw?$tn$,fair nude,"descriptor, skin",0N,#FEEBD3,0.9117647059,nude
Dermablend,Quick Fix Body Foundation Stick,https://www.ulta.com/quick-fix-body-foundation-stick?productId=xlsImpprod10421007,https://images.ulta.com/is/image/Ulta/2274142sw?$50px$,nude,skin,10C,#F5C799,0.7803921569,nude
Estée Lauder,Double Wear Maximum Cover Camouflage Makeup for Face and Body SPF 15,https://www.ulta.com/double-wear-maximum-cover-camouflage-makeup-face-body-spf-15?productId=xlsImpprod16501415,https://images.ulta.com/is/image/Ulta/2521781sw?$50px$,ivory nude,"gem, color, skin",1N1,#E0BD9B,0.7431372549,nude
Estée Lauder,Double Wear Stay In Place Matte Powder Foundation,https://www.ulta.com/double-wear-stay-in-place-matte-powder-foundation?productId=pimprod2003118,https://images.ulta.com/is/image/Ulta/2541048sw?$tn$,ivory nude,"gem, color, skin",1N1,#FEE9D0,0.9058823529,nude
Estée Lauder,Double Wear Stay-in-Place Makeup,https://www.ulta.com/double-wear-stay-in-place-makeup?productId=xlsImpprod14641507,https://images.ulta.com/is/image/Ulta/2309437sw?$50px$,ivory nude,"gem, color, skin",1N1,#DEC094,0.7254901961,nude
FLOWER Beauty,Light Illusion Liquid Foundation,https://www.ulta.com/light-illusion-liquid-foundation?productId=xlsImpprod17631333,https://images.ulta.com/is/image/Ulta/2525008sw?$50px$,nude,skin,L3,#EFC595,0.7607843137,nude
HOURGLASS,Illusion® Hyaluronic Skin Tint,https://www.sephora.com/product/illusion-hyaluronic-skin-tint-P388108?icid2=products%20grid:p388108,/productimages/sku/s1621358+sw.jpg,nude,skin,NA,#EBCDAF,0.8039215686,nude
HOURGLASS,Immaculate Liquid Powder Foundation,https://www.ulta.com/immaculate-liquid-powder-foundation?productId=pimprod2020421,https://images.ulta.com/is/image/Ulta/2575961sw?$50px$,nude,skin,NA,#C19D82,0.6333333333,nude
HOURGLASS,Vanish Seamless Finish Foundation Stick,https://www.ulta.com/vanish-seamless-finish-foundation-stick?productId=pimprod2020481,https://images.ulta.com/is/image/Ulta/2572606sw?$50px$,nude,skin,NA,#C19573,0.6039215686,nude
HOURGLASS,Vanish Seamless Finish Liquid Foundation,https://www.ulta.com/vanish-seamless-finish-liquid-foundation?productId=pimprod2020422,https://images.ulta.com/is/image/Ulta/2575794sw?$50px$,nude,skin,NA,#C19573,0.6039215686,nude
HOURGLASS,Veil Fluid Makeup,https://www.ulta.com/veil-fluid-makeup?productId=pimprod2020482,https://images.ulta.com/is/image/Ulta/2575807sw?$50px$,nude,skin,No. 1.5,#EEC5A9,0.7980392157,nude
Hynt Beauty,Encore Pressed Powder Foundation,https://www.ulta.com/encore-pressed-powder-foundation?productId=pimprod2014352,https://images.ulta.com/is/image/Ulta/2564460sw?$50px$,nude sand,"skin, rock",NA,#F7CF9A,0.7862745098,nude
Jouer Cosmetics,Essential High Coverage Crème Foundation,https://www.sephora.com/product/essential-high-coverage-creme-foundation-P434015?icid2=products%20grid:p434015,/productimages/sku/s2124865+sw.jpg,beige nude,"color, skin",NA,#D7B197,0.7176470588,nude
L.A. Girl,Pro Coverage Liquid Foundation,https://www.ulta.com/pro-coverage-liquid-foundation?productId=xlsImpprod15711049,https://images.ulta.com/is/image/Ulta/2505267sw?$50px$,nude beige,"skin, color",NA,#C38752,0.5431372549,nude
L.A. Girl,Pro.Matte Foundation,https://www.ulta.com/promatte-foundation?productId=xlsImpprod17631407,https://images.ulta.com/is/image/Ulta/2540138sw?$50px$,nude,skin,NA,#DEC9AE,0.7764705882,nude
L'Oréal,Age Perfect Radiant Serum Foundation,https://www.ulta.com/age-perfect-radiant-serum-foundation?productId=pimprod2017262,https://images.ulta.com/is/image/Ulta/2569317sw?$50px$,nude beige,"skin, color",NA,#F3CDAD,0.8156862745,nude
L'Oréal,Infallible Pro-Glow Foundation,https://www.ulta.com/infallible-pro-glow-foundation?productId=xlsImpprod14321021,https://images.ulta.com/is/image/Ulta/2305293sw?$50px$,nude beige,"skin, color",NA,#EDB795,0.7568627451,nude
L'Oréal,Infallible Pro-Matte Liquid Longwear Foundation,https://www.ulta.com/infallible-pro-matte-liquid-longwear-foundation?productId=xlsImpprod11861081,https://images.ulta.com/is/image/Ulta/2547744sw?$50px$,nude buff,"skin, color",104.5,#D8B195,0.7156862745,nude
